store,item,action,urgency,reason,days_of_stock_left,reorder_qty,current_stock,avg_daily_predicted_demand
5,39,Reorder now,High,"With only 5.1 days of stock left and an average daily demand of 27.7 units, a reorder of 139 units is required to avoid a stockout.",5.1,139,141,27.7
9,23,Reorder now,High,"Current stock of 132 units provides only 5.1 days of stock left, requiring a reorder of 127 units now to prevent running out.",5.1,127,132,25.9
5,27,Reorder now,High,"There are only 5.4 days of stock left based on current daily demand, so you should reorder 66 units now.",5.4,66,75,14.0
3,36,Reorder now,High,"Stock will run out in 5.4 days at a daily predicted demand of 72.6 units, necessitating an immediate reorder of 340 units.",5.4,340,393,72.6
6,20,Reorder now,High,"With 169 units in stock offering only 5.4 days of stock left, a reorder of 145 units is needed now.",5.4,145,169,31.2
2,2,Reorder now,High,"Current stock will last only 5.4 days, so reorder 275 units now to avoid a stockout before delivery.",5.4,275,325,59.8
6,9,Reorder now,Medium,"Current stock will last 5.5 days, requiring a reorder of 166 units to prevent a stockout.",5.5,166,205,37.0
5,5,Reorder now,Medium,"Current stock is sufficient for 5.6 days, so reorder 51 units to prevent a stockout.",5.6,51,65,11.5
9,35,Reorder now,Medium,"With 5.6 days of stock left, reorder 269 units to prevent a stockout before the next shipment arrives.",5.6,269,333,59.7
8,45,Reorder now,Medium,"Only 5.6 days of stock remain, so reorder 342 units immediately to maintain availability.",5.6,342,423,75.8
6,21,Reorder now,Medium,"Stock will last only 5.6 days, so reorder 116 units now to avoid running out.",5.6,116,147,26.1
4,14,Reorder now,Medium,"Current stock will last 5.7 days, so reorder 219 units to avoid a stockout.",5.7,219,291,50.7
9,22,Reorder now,Medium,"There are only 5.7 days of stock left, requiring a reorder of 305 units now.",5.7,305,392,68.7
3,50,Reorder now,Medium,"Stock will last 5.7 days, so reorder 266 units to cover demand through the delivery lead time.",5.7,266,340,59.8
2,35,Reorder now,Medium,"With 5.7 days of stock left, a reorder of 291 units is necessary to prevent stock exhaustion.",5.7,291,375,66.3
2,19,Reorder now,Medium,"With 5.8 days of stock remaining, reorder 174 units to avoid running out before delivery.",5.8,174,239,41.2
9,24,Reorder now,Medium,"Stock is predicted to last 5.8 days, so place an order for 251 units now.",5.8,251,337,58.3
10,1,Reorder now,Medium,"Current stock will last 5.9 days, so reorder 82 units to maintain continuous stock.",5.9,82,112,19.1
9,49,Reorder now,Medium,"Stock will last 5.9 days, so reorder 103 units immediately to prevent a stockout.",5.9,103,148,25.1
9,15,Reorder now,Medium,"There are 5.9 days of stock remaining, so reorder 297 units to ensure uninterrupted availability.",5.9,297,426,72.2
4,26,Reorder now,Medium,"With only 5.9 days of stock left, an order of 163 units is required to prevent a stockout before delivery arrives.",5.9,163,239,40.2
3,40,Reorder now,Medium,"There are 6.0 days of stock left, so a reorder of 115 units should be placed to avoid running out.",6.0,115,175,28.9
1,28,Reorder now,Medium,"With 6.1 days of stock remaining, a reorder quantity of 251 units is necessary.",6.1,251,381,62.3
6,31,Reorder now,Medium,"Stock is projected to last 6.1 days, so a reorder of 132 units is recommended.",6.1,132,206,33.8
9,29,Reorder now,Medium,"Only 6.1 days of stock remain, so 249 units should be ordered now.",6.1,249,383,62.8
10,35,Reorder now,Medium,"Current stock will last 6.1 days, requiring a reorder of 231 units to maintain availability.",6.1,231,351,58.0
6,42,Reorder now,Medium,"With 6.1 days of stock remaining, 89 units need to be reordered immediately.",6.1,89,135,22.2
1,18,Reorder now,Medium,"There are 6.2 days of stock left, requiring a reorder of 248 units.",6.2,248,389,62.6
6,23,Reorder now,Medium,"Current inventory will last 6.2 days, so 71 units need to be ordered.",6.2,71,114,18.3
3,25,Reorder now,Medium,"With 6.2 days of stock remaining, a reorder of 274 units is required.",6.2,274,450,72.1
1,5,Reorder now,Medium,"Stock will last 6.2 days, so 57 units should be reordered to avoid a stockout.",6.2,57,88,14.3
2,25,Reorder now,Medium,"Stock is expected to last 6.3 days, so order 315 units now to prevent a stockout.",6.3,315,519,82.1
7,50,Reorder now,Medium,"Only 6.3 days of stock remain, requiring a reorder quantity of 140 units.",6.3,140,239,37.7
3,23,Reorder now,Medium,"There are 6.3 days of stock left, so 106 units should be reordered now.",6.3,106,181,28.5
5,30,Reorder now,Medium,"With 6.4 days of stock remaining, place a reorder for 97 units.",6.4,97,169,26.2
2,50,Reduce future orders,Medium,Current stock of 1352 units will last 21.1 days based on an average daily predicted demand of 64.0 units.,21.1,0,1352,64.0
10,7,Reduce future orders,Medium,"Current stock of 1088 units will last 21.1 days at a daily demand of 51.5 units, resulting in overstock.",21.1,0,1088,51.5
6,47,Reduce future orders,Medium,"Current stock of 297 units will last 21.1 days at a daily demand of 14.1 units, creating an overstock.",21.1,0,297,14.1
4,28,Reduce future orders,Medium,Current stock of 1560 units will last 21.2 days based on an average daily predicted demand of 73.8 units.,21.2,0,1560,73.8
9,10,Reduce future orders,Medium,Current stock of 1332 units will last 21.4 days based on an average daily predicted demand of 62.2 units.,21.4,0,1332,62.2
3,1,Reduce future orders,Medium,Current stock of 421 units will last 21.4 days based on an average daily predicted demand of 19.6 units.,21.4,0,421,19.6
7,42,Reduce future orders,Medium,Current stock of 431 units will last 21.5 days based on an average daily predicted demand of 20.0 units.,21.5,0,431,20.0
5,2,Reduce future orders,Medium,Current stock of 762 units will last 21.7 days based on an average daily predicted demand of 35.2 units.,21.7,0,762,35.2
8,36,Reduce future orders,Medium,Current stock of 1641 units will last 21.9 days based on an average daily predicted demand of 74.8 units.,21.9,0,1641,74.8
8,38,Reduce future orders,Medium,Current stock of 1684 units will last 22.0 days based on an average daily predicted demand of 76.6 units.,22.0,0,1684,76.6
3,43,Reduce future orders,Medium,Current stock of 964 units will last 22.1 days based on an average daily predicted demand of 43.7 units.,22.1,0,964,43.7
6,37,Reorder now,Low,"Stock is projected to run out in 6.5 days, creating a stockout risk, so a reorder quantity of 61 units is required immediately.",6.5,61,116,17.8
6,40,Reorder now,Low,"Current stock will last only 6.5 days, presenting a stockout risk before a new shipment arrives, so a reorder quantity of 70 units should be ordered now.",6.5,70,126,19.4
6,44,Reorder now,Low,"There are only 6.6 days of stock left, posing a stockout risk, so 63 units should be reordered now.",6.6,63,121,18.3
10,23,Reorder now,Low,"With 6.6 days of stock remaining, there is a stockout risk, so a reorder quantity of 102 units is needed.",6.6,102,196,29.6
4,5,Reorder now,Low,"Current inventory will last 6.6 days, which creates a stockout risk, requiring a reorder quantity of 56 units.",6.6,56,109,16.4
7,39,Reorder now,Low,"Only 6.6 days of stock remain, carrying a stockout risk, so 79 units should be reordered now.",6.6,79,156,23.5
10,5,Reorder now,Low,"Stock will last 6.7 days, presenting a stockout risk, so a reorder quantity of 58 units is recommended.",6.7,58,115,17.3
9,9,Reorder now,Low,"Current stock will run out in 6.7 days, creating a stockout risk, so 155 units need to be ordered now.",6.7,155,303,45.4
5,9,Reorder now,Low,"There are 6.7 days of stock left, posing a stockout risk, so a reorder quantity of 112 units should be placed.",6.7,112,222,33.3
